project,page_title,views
ace,Facebook,10
af,Facebook,9
af,Microsoft,9
af.m,Facebook,2
als,Facebook,19
ami,Google,9
an,Amazon,11
an,Facebook,9
an,Microsoft,9
ang,Amazon,10
ang,Facebook,11
ang,Google,12
ang,Microsoft,11
ast,Facebook,10
ast,Google,11
ast,Microsoft,12
az,Amazon,8
az,Facebook,8
az,Google,11
az,Microsoft,10
az.m,Facebook,1
az.m,Google,2
az.m,Oracle,1
ba,Google,9
ba,Microsoft,11
ban,Facebook,9
ban,Google,9
ban,Microsoft,10
bar,Facebook,11
bar,Google,12
bar,Microsoft,11
bat-smg,Facebook,9
bat-smg,Google,9
bcl,Google,10
be,Amazon,11
be,Facebook,12
be,Google,10
be,Microsoft,9
be,Oracle,4
be-tarask,Facebook,6
be-tarask,Google,10
bg,Google,9
bg.m,IBM,1
bjn,Facebook,11
bjn,Google,12
blk,Facebook,10
blk,Google,9
blk,Microsoft,11
br,Amazon,9
br,Google,9
br,Microsoft,9
bs,Amazon,12
bs,Facebook,10
bs,Google,9
bs,Microsoft,13
bs,Tesla,6
bs.m,Amazon,1
ca,Amazon,9
ca,Google,12
ca,Microsoft,7
ca,Oracle,5
cdo,Facebook,7
cdo,Google,10
ce,Facebook,10
ce,Google,11
ceb,Facebook,8
ceb,Microsoft,11
chy,Facebook,10
commons.m,Microsoft,1
cs,Facebook,11
cs,Google,12
cs,IBM,2
cs,Microsoft,8
cs.m,Apple,2
cs.m,Facebook,6
cs.m,Google,2
cs.m,IBM,1
cs.m,Microsoft,1
cv,Facebook,9
cy,Amazon,10
cy,Facebook,8
cy,Google,12
cy,Microsoft,8
da,Facebook,14
da,Google,11
da,IBM,1
da,Microsoft,10
da,Oracle,5
da,Tesla,2
da.m,IBM,1
dag,Facebook,17
de,Amazon,33
de,Apple,9
de,Facebook,27
de,Google,43
de,IBM,7
de,Microsoft,23
de,Oracle,11
de,Tesla,1
de.m,Amazon,25
de.m,Apple,10
de.m,Facebook,50
de.m,Google,60
de.m,IBM,10
de.m,Microsoft,3
de.m,Oracle,9
de.m,Tesla,2
diq,Facebook,9
diq,Google,10
diq,Microsoft,8
ee,Google,8
el,Facebook,12
el,Google,10
el,Microsoft,9
el.m,Facebook,4
el.m,Google,2
eml,Facebook,12
en,Amazon,11
en,Apple,128
en,Facebook,185
en,Google,441
en,IBM,35
en,Microsoft,69
en,Oracle,17
en,Tesla,1
en.d,Amazon,1
en.d,Apple,6
en.m,Apple,35
en.m,Facebook,386
en.m,Google,348
en.m,IBM,51
en.m,Microsoft,63
en.m,Oracle,7
en.m,Tesla,2
en.m.d,Google,1
en.q,Facebook,1
en.voy,Oracle,2
eo,Facebook,10
eo,Google,10
eo,Microsoft,9
es,Amazon,33
es,Facebook,27
es,Google,44
es,Microsoft,17
es,Oracle,11
es.m,Amazon,5
es.m,Apple,7
es.m,Facebook,39
es.m,Google,24
es.m,IBM,2
es.m,Microsoft,4
es.m,Oracle,3
et,Amazon,10
